chain,pool_address,tokenId
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,352114
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,352113
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,338140
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,333748
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,316410
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,311869
10,0xf627349a40c964b649d8c7c8a7fc29708dcd9606,170525
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,167454
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,166048
10,0xfb8f652e54b06a38cedbf4d240feceda4f396acc,150175
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,647656
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,406277
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,370521
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,365342
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,358397
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,338864
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,333403
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,330740
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,294059
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,291394
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,289289
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,286421
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,283466
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,280560
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,278907
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,277856
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,275369
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,257635
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,252441
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,252231
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,248384
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,248062
42161,0x024c051554a742a1d2e9394a8a9b6fced36d7b46,245775
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,243681
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,242979
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,239633
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,238913
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,235649
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,232499
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,232357
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,230272
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,229258
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,227641
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,218447
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,215032
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210853
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210830
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210791
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210454
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210445
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210443
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210428
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210380
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210374
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,210339
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209703
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209695
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209694
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209667
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209659
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209641
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209600
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209545
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209531
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209453
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209441
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209388
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209124
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209032
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,209031
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,208989
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,208967
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,208898
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,208571
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,204673
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,204608
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,204601
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,201124
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,200051
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,199348
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,199340
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,198084
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,109495
42161,0x154d898d0b2ba4af81b1281b7f20b0303808fce4,90159
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,89065
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,84175
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,83787
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,83156
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,82937
42161,0x8a7be0c0de9c1a3090ca58c95a10cee43f2b1d8b,82578
42161,0x81d43b4244195b931b505e462d3f709d5a05d40d,70409
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,481733
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,385399
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,315801
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,315800
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,315798
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,312447
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,309921
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,295333
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,292014
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,288392
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,287013
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,286009
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,278270
1,0x498495e3ee98241993304c1a16fcc061cee6c2f8,259462